Retron (sub)b	msr/msd familiyc	Cluster/domaind	Accesione
 I-A	 IA/IIA1	22_1	fig|670897.3.peg.2382
 I-A	 IA/IIA1	22_1	WP_000111473.1
 I-A	 IA/IIA1	22_1	fig|286156.4.peg.5031
 I-A	 IA/IIA1	22_1	fig|171439.3.peg.1995
 I-A	 IA/IIA1	22_1	fig|1004151.3.peg.110
 I-A	 IA/IIA1	22_1	fig|1736225.3.peg.2969
 I-A		na	fig|1897730.3.peg.2912
 I-A	 IA/IIA1	22_1	fig|1114880.3.peg.10
 I-A	 IA/IIA1	22_1	fig|1460083.3.peg.4429
 I-A	 IA/IIA1	22_1	fig|585.10.peg.2369
 I-A	 IA/IIA1	22_1	WP_140315795.1
 I-A		22_1	fig|670.147.peg.3463
 I-A		22_1	fig|1516159.4.peg.4737
 I-A	 IA/IIA1	22_1	fig|190893.12.peg.246
 I-A	 IA/IIA1	22_1	fig|643674.5.peg.820
 I-A		22_1	fig|1122619.3.peg.2381
 I-A	 IA/IIA1	22_1	fig|29489.5.peg.3423
 I-A	 IA/IIA1	22_1	fig|1899355.18.peg.3566
 I-A	 IA/IIA1	22_1	fig|49186.3.peg.4362
 I-A	 IA/IIA1	22_1	fig|672.375.peg.4377
 I-A	 IA/IIA1	22_1	fig|584.202.peg.1668
 I-A	 IA/IIA1	22_1	fig|394935.10.peg.4407
 I-A	 IA/IIA1	22_1	fig|1196083.117.peg.637
 I-A	 IA/IIA1	22_1	fig|1196083.120.peg.2046
 I-A	 IA/IIA1	22_1	fig|1196083.114.peg.825
 I-A	 IA/IIA1	22_1	fig|550.250.peg.2975
 I-A	 IA/IIA1	22_1	fig|680.27.peg.793
 I-A	 IA/IIA1	22_1	fig|1348393.3.peg.352
 I-A	 IA/IIA1	22_1	fig|644.85.peg.4392
 I-A	 IA/IIA1	22_1	fig|1234128.4.peg.4777
 I-A	 IA/IIA1	22_1	fig|69219.6.peg.2213
 I-A	 IA/IIA1	22_1	fig|208224.13.peg.2962
 I-A	 IA/IIA1	22_1	fig|672.332.peg.2758
 I-A	 IA/IIA1	22_1	fig|1777131.3.peg.2267
 I-A		22_1	fig|945550.3.peg.1167
 I-A	 IA/IIA1	22_1	fig|648.75.peg.922
 I-A	 IA/IIA1	22_1	fig|1238221.3.peg.2053
 I-A	 IA/IIA1	22_1	fig|56192.3.peg.3860
 I-A	 IA/IIA1	22_1	fig|1806667.7.peg.3169
 I-A	 IA/IIA1	22_1	fig|272773.3.peg.1019
 I-A	 IA/IIA1	22_1	WP_073265166.1
 I-A		22_1	fig|1946584.3.peg.2789
 I-A	 IA/IIA1	22_1	fig|2030880.3.peg.665
 I-A	 IA/IIA1	22_1	fig|80854.14.peg.530
 I-A	 IA/IIA1	22_1	fig|1902503.3.peg.1072
 I-A	 IA/IIA1	22_1	fig|1122212.3.peg.1985
 I-A	 IA/IIA1	22_1	fig|40576.4.peg.4387
 I-A	 IA/IIA1	22_1	fig|287094.3.peg.78
 I-A	 IA/IIA1	22_1	fig|1805633.3.peg.1469
 I-A		22_1	fig|1945927.3.peg.1017
 I-A	 IA/IIA1	22_1	fig|202956.9.peg.1680
 I-A		na	fig|1811612.3.peg.155
 I-A	 IA/IIA1	22_1	fig|573.14330.peg.438
 I-A	 IA/IIA1	22_1	fig|470.1294.peg.971
 I-A	 IA/IIA1	22_1	fig|762966.3.peg.2452
 I-A	 IA/IIA1	22_1	fig|470.3514.peg.1550
 I-A	 IA/IIA1	22_1	fig|470.2538.peg.3022
 I-A		22_1	fig|48296.130.peg.276
 I-A	 IA/IIA1	22_1	fig|663.91.peg.4688
 I-A	 IA/IIA1	22_1	fig|296199.3.peg.4813
 I-A	 IA/IIA1	na	fig|1367490.3.peg.3583
 I-A	 IA/IIA1	22_1	fig|326537.3.peg.3698
 I-A	 IA/IIA1	22_1	fig|1175631.4.peg.4191
 I-A	 IA/IIA1	22_1	WP_001403504.1
 I-A	 IA/IIA1	22_1	fig|549.21.peg.1734
 I-A	 IA/IIA1	22_1	fig|140100.3.peg.2972
 I-A	 IA/IIA1	22_1	fig|693153.4.peg.1176
 I-A	 IA/IIA1	22_1	fig|1238430.3.peg.1911
 I-A	 IA/IIA1	22_1	fig|1123036.3.peg.144
 I-A	 IA/IIA1	22_1	fig|173990.3.peg.3319
 I-A		22_1	fig|1869214.4.peg.3809
 I-A	 IA/IIA1	22_1	fig|1898113.7.peg.1514
 I-A	 IA/IIA1	22_1	fig|29484.39.peg.1876
 I-A	 IA/IIA1	ni	fig|1761793.3.peg.274
 I-A	 IA/IIA1	22_1	fig|587.48.peg.2666
 I-A	 IA/IIA1	22_1	fig|573.4147.peg.1684
 I-A	 IA/IIA1	22_1	fig|1263833.3.peg.2872
 I-A		22_1	fig|1690502.3.peg.467
 I-A	 IA/IIA1	22_1	fig|1029989.3.peg.5037
 I-A	 IA/IIA1	22_1	fig|211759.3.peg.770
 I-A	 IA/IIA1	22_1	fig|29483.5.peg.2283
 I-A	 IA/IIA1	22_1	fig|1268238.3.peg.3466
 I-A	 IA/IIA1	22_1	fig|548.121.peg.2368
 I-A	 IA/IIA1	22_1	fig|196024.6.peg.1825
 I-A		22_1	fig|386429.3.peg.3784
 I-A		na	fig|666.2089.peg.3167
 I-A	 IA/IIA1	22_1	WP_159353404.1
 I-A		na	fig|670.362.peg.2186
 I-A		22_1	fig|615.398.peg.1671
 I-A	 IA/IIA1	22_1	fig|571.188.peg.5401
 I-A	 IA/IIA1	22_1	fig|1389422.3.peg.2794
 I-A	 IA/IIA1	22_1	fig|1082704.3.peg.1242
 I-A	 IA/IIA1	22_1	fig|1686379.3.peg.3365
 I-A	 IA/IIA1	22_1	fig|83655.55.peg.221
 I-A	 IA/IIA1	22_1	fig|550.532.peg.617
 I-A	 IA/IIA1	22_1	fig|349965.6.peg.153
 I-A	 IA/IIA1	22_1	fig|1947028.3.peg.31
 I-A	 IA/IIA1	22_1	fig|29484.34.peg.3725
 I-A	 IA/IIA1	22_1	fig|314608.4.peg.222
 I-A	 IA/IIA1	22_1	fig|585.16.peg.3620
 I-A	 IA/IIA1	22_1	fig|1117313.3.peg.4128
 I-A	 IA/IIA1	22_1	fig|1236543.3.peg.1328
 I-A	 IA/IIA1	22_1	fig|550.520.peg.1818
 I-A	 IA/IIA1	22_1	fig|592316.4.peg.43
 I-A		22_1	fig|1903177.3.peg.4556
 I-A	 IA/IIA1	22_1	fig|1435069.3.peg.925
 I-A	 IA/IIA1	22_1	fig|666.3258.peg.1211
 I-A	 IA/IIA1	22_1	fig|1579504.3.peg.1822
 I-A	 IA/IIA1	22_1	fig|727.548.peg.1576
 I-A	 IA/IIA1	22_1	EIJ70524.1
 II-A1		na	fig|1121935.3.peg.14
 II-A1	 IA/IIA1	42_2	fig|400668.8.peg.2509
 II-A1	 IA/IIA1	42_2	fig|1777491.3.peg.1212
 II-A1	 IA/IIA1	42_2	fig|2013797.3.peg.1728
 II-A1	 IA/IIA1	42_2	fig|1008297.7.peg.4158
 II-A1	 IA/IIA1	42_2	EDM6246721.1
 II-A1	 IA/IIA1	42_2	fig|421.19.peg.3278
 II-A1		42_2	fig|758.17.peg.102
 II-A1	 IA/IIA1	42_2	fig|726.60.peg.864
 II-A1	 IA/IIA1	ni	fig|1035188.3.peg.348
 II-A1	 IA/IIA1	42_2	fig|670.79.peg.3738
 II-A1		42_2	fig|1481663.12.peg.913
 II-A1	 IA/IIA1	42_2	fig|1123402.3.peg.611
 II-A1	 IA/IIA1	42_2	fig|668.83.peg.3088
 II-A1	 IA/IIA1	42_2	fig|290110.6.peg.2319
 II-A1		na	fig|568766.10.peg.822
 II-A1	 IA/IIA1	42_2	fig|470.4268.peg.2217
 II-A1	 IA/IIA1	42_2	fig|1977881.3.peg.1569
 II-A1	 IA/IIA1	42_2	fig|548.171.peg.2395
 II-A1	 IA/IIA1	42_2	fig|584.105.peg.1823
 II-A1	 IA/IIA1	42_2	fig|1275975.3.peg.1756
 II-A1	 IA/IIA1	42_2	fig|615.474.peg.3994
 II-A1	 IA/IIA1	42_2	fig|61647.13.peg.3699
